km_number;find_type;length;width;thickness;weight;x;y
32039;kirveet;120;40;40;420;6987601;559225
33070;kirveet;91;50;25;331;7204072;587496
35902;kirveet;197;75;37;620;7638696;492759
39149;kirveet;193;82;45;1016;6941672;467565
39178;kirveet;174;41;84;759,8;6802153;328646
39452;kirveet;99,5;53,5;30;248,1;6748437;371160
39511;kirveet;160;120;;435,5;6707293;471013
39589;kirveet;154;93;;750;6741180;364874
39609;kirveet;55;60;9;101,4;6705920;462080
39621;kirveet;123;55;;276,9;7102084;580793
39759;kirveet;155;151;29;350;6741180;364874
40072;kirveet;136;66;39;498,4;6804139;354111
40206;kirveet;89;60;21;88,1;6778051;340603
40331;kirveet;114;81;29;593,9;7204982;585380
40331;kirveet;150;92;38;558,7;7204982;585380
40334;kirveet;178;96;42;975,2;7200795;577041
